Message,Label
"Win a free iPhone today",1
"Meeting scheduled at 5 PM",0
"Claim your cash reward now",1
"Please submit the assignment tomorrow",0
"Exclusive discount available only today",1
"Lunch at restaurant this evening?",0
"Congratulations you won a lottery",1
"Project discussion moved to Monday",0
"Urgent response needed to claim prize",1
"Can we talk after class?",0
"Free vacation package waiting for you",1
"Please review the attached document",0
"Get rich quickly with this secret",1
"Happy birthday have a wonderful day",0
"Limited time offer click now",1
"Your package has been delivered",0
"Earn money from home easily",1
"Let's attend the workshop together",0
"You have been selected for reward",1
"Dinner plans for tonight?",0
"Claim your free gift card",1
"Team meeting starts at 10 AM",0
"Lowest prices guaranteed buy now",1
"Please send me the report",0
"Congratulations your number won",1
"Can you help me with homework?",0
"Free entry in weekly contest",1
"Class has been cancelled today",0
"Click here to receive bonus",1
"Your appointment is confirmed",0
"You are eligible for cash prize",1
"Let's go to the library",0
"Special promotion available now",1
"Are you coming to the event?",0
"Act fast limited seats remaining",1
"The project deadline is tomorrow",0
"Get your free coupon instantly",1
"Please call me when free",0
"Exclusive reward for selected users",1
"Exam timetable released today",0
"Claim bonus before midnight",1
"Can you share the notes?",0
"Huge discount on electronics today",1
"Family dinner this weekend",0
"Congratulations claim your reward",1
"Please complete the registration",0
"You won free movie tickets",1
"Meeting postponed until Friday",0
"Unlock premium access now",1
"Your order is out for delivery",0
"Earn extra income easily online",1
"Happy anniversary wishes to you",0
"Win cash instantly click now",1
"Let's prepare for the presentation",0
"Urgent account verification required",1
"See you in college tomorrow",0
"Receive your exclusive bonus today",1
"Assignment marks uploaded online",0
"Lowest airfare deals available",1
"Join us for cricket practice",0
"Free recharge available today",1
"Can you send the file again?",0
"You have won a luxury trip",1
"Please update the spreadsheet",0
"Click now to activate reward",1
"Movie starts at 7 PM",0
"Exclusive cashback offer waiting",1
"Your interview is scheduled tomorrow",0
"Claim your free shopping voucher",1
"Let's study together tonight",0
"Get instant loan approval",1
"Please check your email attachment",0
"Special cash reward for you",1
"Coffee meetup tomorrow morning",0
"Winner selected claim immediately",1
"Project files uploaded successfully",0
"Buy one get one free",1
"Let's play badminton this evening",0
"Urgent update your payment details",1
"Presentation slides are ready",0
"Exclusive online deal available",1
"The seminar starts at noon",0
"You have received free points",1
"Can you attend the meeting today?",0
"Limited stock order immediately",1
"Please bring your ID card",0
"Get free access to premium content",1
"Are you available for a call?",0
"Claim your instant reward now",1
"Your exam hall ticket is ready",0
"Special festive discount offer",1
"Let's meet near the cafeteria",0
"Win exciting prizes today",1
"Training session begins tomorrow",0
"Get cashback on every purchase",1
"Please review the code changes",0
"You are selected for bonus",1
"Class notes have been uploaded",0
"Click here for free subscription",1
"Can we reschedule the meeting?",0
"Urgent congratulations you won",1
"Lunch break starts at 1 PM",0
"Receive free membership instantly",1
"Please verify your attendance",0
"Earn passive income from home",1
"Let's complete the assignment together",0
"Free access granted claim now",1
"The workshop venue has changed",0
"Congratulations free cash waiting",1
"Can you join the online class?",0
"Exclusive VIP offer available",1
"Please update your contact details",0
"Special reward unlocked for you",1
"Your cab has arrived",0
"Win a brand new laptop",1
"The event starts this evening",0
"Instant bonus available click now",1
"Please check the timetable",0
"Get free internet recharge",1
"Let's prepare for the exam",0
"Claim your shopping reward today",1
"Meeting room changed to Block B",0
"Huge savings available today",1
"Can you send today's attendance?",0
"Unlock your free benefits now",1
"Happy new year wishes",0
"Get guaranteed reward instantly",1
"Please submit the project file",0
"Limited period special discount",1
"The bus will arrive shortly",0
"Claim your lucky draw prize",1
"Can we discuss the assignment?",0
"Free premium upgrade available",1
"Dinner is ready come downstairs",0
"You won cash bonus today",1
"The conference begins tomorrow",0
"Special offer expires tonight",1
"Please attend the online session",0
"Receive free vouchers instantly",1
"See you at the gym later",0
"Exclusive reward claim now",1
"The faculty meeting starts soon",0
"Win free shopping coupons",1
"Please submit your feedback form",0
"Huge cashback deal available",1
"Let's revise the syllabus together",0
"Urgent action required claim reward",1
"Your account statement is ready",0
"Congratulations selected for jackpot",1
"The practical exam is postponed",0
"Get your free trial today",1
"Can you send the Zoom link?",0
"Exclusive online cashback offer",1
"Please upload the assignment PDF",0
"Claim your bonus reward instantly",1
"Library closes at 8 PM",0
"Win free gadgets now",1
"Let's attend the coding contest",0
"Limited time reward available",1
"Please complete your profile",0
"Free holiday tickets waiting",1
"Your meeting invitation is accepted",0
"Get instant rewards today",1
"Can we meet after the lecture?",0
"Special free membership available",1
"Your exam results are published",0
"Congratulations claim free cashback",1
"Please share the class recording",0
"Earn rewards with one click",1
"The assignment due date extended",0
"Unlock free entertainment package",1
"Can you help with the project?",0

